fecha,hora,Nombre Producto,Precio,URL
12-05-2025,11:17,VINAGRE VINO ALCAZAR X500 PET,1115,https://www.hiperlibertad.com.ar/vinagre-vino-alcazar-x-500ml/p
12-05-2025,11:17,"ACEITE NATURA X 1,5 L.",4210,https://www.hiperlibertad.com.ar/aceite-de-girasol-natura-1-5-lt/p
12-05-2025,11:17,MAYONESA NATURA DOY PACK X 250 G.,1049,https://www.hiperlibertad.com.ar/mayonesa-natura-250-cc/p
12-05-2025,11:17,CAFÉ CABRALES AL GRANO TORRADO MOLIDO X 500 Gr,10489,https://www.hiperlibertad.com.ar/caf-cabrales-al-grano-torrado-molido-x-500-gr/p
fecha,hora,Nombre Producto,Precio,URL
12-05-2025,11:17,GALLETAS SURTIDO DIVERSIO 400G,1990,https://www.hiperlibertad.com.ar/galletitas-surtido-diversi-n-en-bolsa-400-g/p
12-05-2025,11:17,PAPA CEPILLADA X 1 KG21 ECOMM,"1099, 0",https://www.hiperlibertad.com.ar/papa-cepillada-x-1-kg/p
12-05-2025,11:17,,No disponible,https://www.hiperlibertad.com.ar/azucar-ledesma-clasica-1-kg/p
12-05-2025,11:17,ARROZ ALA LGO FINO X1KG,1999,https://www.hiperlibertad.com.ar/arroz-blanco-largo-fino-molinos-ala-1-kg/p
12-05-2025,11:17,PAN BAGUETTE X U.,989,https://www.hiperlibertad.com.ar/pan-baguete-x-unidad-2/p
12-05-2025,11:17,GALLETITAS SANDWICH MEDIATARDE X3 107 G.,1529,https://www.hiperlibertad.com.ar/galletitas-sandwich-mediatarde-x3-107-g/p
12-05-2025,11:17,DULCE LECHE ILOLAY FLIARX400G,2390,https://www.hiperlibertad.com.ar/dulce-de-leche-clasico-ilolay-400-gr/p
12-05-2025,11:17,MANZANA COMERCIAL FRACCIONADA X KG.,"2599, 0",https://www.hiperlibertad.com.ar/manzana-roja-fraccionada-x-1kg/p
12-05-2025,11:17,"POLLO FRESCO X UN. (APROX. 2,5KG)",8290,https://www.hiperlibertad.com.ar/pollo-fresco-x-un-aprox-2-5kg/p
12-05-2025,11:17,,No disponible,https://www.hiperlibertad.com.ar/huevo-blanco-mediterranea-x6u/p
12-05-2025,11:17,SALAME MILAN LARIO FETEADO X 150 G.,3590,https://www.hiperlibertad.com.ar/salame-milan-lario-feteado-150g/p
12-05-2025,11:17,LECHE ENTERA LA SERENÍSIMA MULT VIT 3% SACHET X 1 LT,1766,https://www.hiperlibertad.com.ar/leche-entera-la-seren-sima-mult-vit-3-sachet-x-1-lt/p
12-05-2025,11:17,Queso crema Clásico Casancrem 290gr,4476,https://www.hiperlibertad.com.ar/queso-crema-cl-sico-casancrem-290gr-3/p
12-05-2025,11:17,YERBA CHAMIGO SIN TACC X 1 KG,3190,https://www.hiperlibertad.com.ar/yerba-chamigo-sin-tacc-x-1-kg/p
12-05-2025,11:17,"ACEITE NATURA X 1,5 L.",4210,https://www.hiperlibertad.com.ar/aceite-de-girasol-natura-1-5-lt/p
12-05-2025,11:17,SAL FINA CELUSAL X 500 G.,"1649, 0",https://www.hiperlibertad.com.ar/sal-final-celusal-paquete-500-gr/p
12-05-2025,11:17,MANTECA PRIMER PREMIO X100GR21,1580,https://www.hiperlibertad.com.ar/manteca-primer-premio-100gr/p
12-05-2025,11:17,CAFÉ CABRALES AL GRANO TORRADO MOLIDO X 500 Gr,10489,https://www.hiperlibertad.com.ar/caf-cabrales-al-grano-torrado-molido-x-500-gr/p
12-05-2025,11:17,YOGUR LSC ENTERO VAI X 900,"3159, 0",https://www.hiperlibertad.com.ar/yogur-bebible-vainilla-la-seren-sima-cl-sico-900gr-2/p
12-05-2025,11:17,VINAGRE VINO ALCAZAR X500 PET,1115,https://www.hiperlibertad.com.ar/vinagre-vino-alcazar-x-500ml/p
12-05-2025,11:17,MAYONESA NATURA DOY PACK X 250 G.,1049,https://www.hiperlibertad.com.ar/mayonesa-natura-250-cc/p
