fecha,hora,Nombre Producto,Precio,URL
04-05-2025,11:25,PAN BAGUETTE X U.,989,https://www.hiperlibertad.com.ar/pan-baguete-x-unidad-2/p
04-05-2025,11:25,GALLETITAS SANDWICH MEDIATARDE X3 107 G.,1529,https://www.hiperlibertad.com.ar/galletitas-sandwich-mediatarde-x3-107-g/p
04-05-2025,11:25,PAPA CEPILLADA X 1 KG21 ECOMM,1249,https://www.hiperlibertad.com.ar/papa-cepillada-x-1-kg/p
04-05-2025,11:25,,No disponible,https://www.hiperlibertad.com.ar/azucar-ledesma-clasica-1-kg/p
04-05-2025,11:25,BATATA X 500 G ECOMM,"949,5",https://www.hiperlibertad.com.ar/batata-x-500-g/p
04-05-2025,11:25,GALLETAS SURTIDO DIVERSIO 400G,1990,https://www.hiperlibertad.com.ar/galletitas-surtido-diversi-n-en-bolsa-400-g/p
04-05-2025,11:25,HARINA 000 FAVORITA VITA 1KG,800,https://www.hiperlibertad.com.ar/harina-000-favorita-con-vitaminas-x-1-kg/p
04-05-2025,11:25,ARROZ ALA LGO FINO X1KG,1999,https://www.hiperlibertad.com.ar/arroz-blanco-largo-fino-molinos-ala-1-kg/p
04-05-2025,11:25,"POLLO FRESCO X UN. (APROX. 2,5KG)",8290,https://www.hiperlibertad.com.ar/pollo-fresco-x-un-aprox-2-5kg/p
04-05-2025,11:25,,No disponible,https://www.hiperlibertad.com.ar/manzana-roja-fraccionada-x-1kg/p
04-05-2025,11:25,DULCE LECHE ILOLAY FLIARX400G,2390,https://www.hiperlibertad.com.ar/dulce-de-leche-clasico-ilolay-400-gr/p
04-05-2025,11:25,SALAME MILAN LARIO FETEADO X 150 G.,3082,https://www.hiperlibertad.com.ar/salame-milan-lario-feteado-150g/p
04-05-2025,11:25,HUEVO BLANCO MEDITERRANEA. X6U,"2205, 0",https://www.hiperlibertad.com.ar/huevo-blanco-mediterranea-x6u/p
04-05-2025,11:25,Queso crema Clásico Casancrem 290gr,4476,https://www.hiperlibertad.com.ar/queso-crema-cl-sico-casancrem-290gr-3/p
04-05-2025,11:25,LECHE ENTERA LA SERENÍSIMA MULT VIT 3% SACHET X 1 LT,1766,https://www.hiperlibertad.com.ar/leche-entera-la-seren-sima-mult-vit-3-sachet-x-1-lt/p
04-05-2025,11:25,MANTECA PRIMER PREMIO X100GR21,1580,https://www.hiperlibertad.com.ar/manteca-primer-premio-100gr/p
04-05-2025,11:25,,No disponible,https://www.hiperlibertad.com.ar/aceite-de-girasol-natura-1-5-lt/p
04-05-2025,11:25,YOGUR LSC ENTERO VAI X 900,3159,https://www.hiperlibertad.com.ar/yogur-bebible-vainilla-la-seren-sima-cl-sico-900gr-2/p
04-05-2025,11:25,,No disponible,https://www.hiperlibertad.com.ar/sal-final-celusal-paquete-500-gr/p
04-05-2025,11:25,YERBA CHAMIGO SIN TACC X 1 KG,"2939, 0",https://www.hiperlibertad.com.ar/yerba-chamigo-sin-tacc-x-1-kg/p
04-05-2025,11:25,VINAGRE VINO ALCAZAR X500 PET,1115,https://www.hiperlibertad.com.ar/vinagre-vino-alcazar-x-500ml/p
04-05-2025,11:25,MAYONESA NATURA DOY PACK X 250 G.,1049,https://www.hiperlibertad.com.ar/mayonesa-natura-250-cc/p
04-05-2025,11:25,CAFÉ CABRALES AL GRANO TORRADO MOLIDO X 500 Gr,10489,https://www.hiperlibertad.com.ar/caf-cabrales-al-grano-torrado-molido-x-500-gr/p
